0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  62
9  183
10  62
11  62
12  62
13  62
14  20
15  20
16  20
17  20
18  20
19  20
20  20
21  20
22  20
23  20
24  20
25  20
26  20
27  20
28  20
29  20
30  20
31  20
32  20
33  20
34  20
35  20
36  20
37  20
38  20
39  20
40  20
41  20
42  20
43  20
44  20
45  20
46  20
47  20
48  20
49  20
50  20
51  20
52  20
53  20
54  20
55  20
56  20
57  0
58  0
59  0
60  0
61  26
62  42
63  42
64  42
65  42
66  42
67  42
68  42
69  42
70  0
71  0
72  0
73  0
74  0
75  0
76  0
77  0
78  0
79  0
80  0
81  0
82  0
83  0
84  0
85  0
86  0
87  0
88  0
89  0
90  0
91  0
92  0
93  0
94  0
95  0
96  0
97  0
98  0
99  0
100 0
101 0
102 0
103 0
104 0
105 0
106 0
107 0
108 0
109 0
110 0
